,Case_ID,Activity,Timestamp,Time_Diff,Time_Since_Start,Time_Since_Midnight,Weekday,Remaining_Time,Next_Time_Diff,Next_Time_Since_Start,Next_Time_Since_Midnight,Next_Weekday,Next_Remaining_Time,Act_!,Act_A,Act_B,Act_C,Act_D,Act_E,Act_F,Act_G,Act_H,Act_I,Act_J,Act_K,Next_Act_!,Next_Act_A,Next_Act_B,Next_Act_C,Next_Act_D,Next_Act_E,Next_Act_F,Next_Act_G,Next_Act_H,Next_Act_I,Next_Act_J,Next_Act_K,Next_Activity,Position,Trace_Len
0,990001,A,2019-05-20 09:07:47,0,0,32867,0,3197465,7567.0,7567.0,40434.0,0.0,3189898.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,1,20
1,990001,C,2019-05-20 11:13:54,7567,7567,40434,0,3189898,379.0,7946.0,40813.0,0.0,3189519.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,2,20
2,990001,B,2019-05-20 11:20:13,379,7946,40813,0,3189519,9264.0,17210.0,50077.0,0.0,3180255.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,3,20
3,990001,D,2019-05-20 13:54:37,9264,17210,50077,0,3180255,72552.0,89762.0,36229.0,1.0,3107703.0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,E,4,20
4,990001,E,2019-05-21 10:03:49,72552,89762,36229,1,3107703,175021.0,264783.0,38450.0,3.0,2932682.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,5,20
5,990001,D,2019-05-23 10:40:50,175021,264783,38450,3,2932682,1175.0,265958.0,39625.0,3.0,2931507.0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,6,20
6,990001,B,2019-05-23 11:00:25,1175,265958,39625,3,2931507,1650.0,267608.0,41275.0,3.0,2929857.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,F,7,20
7,990001,F,2019-05-23 11:27:55,1650,267608,41275,3,2929857,21511.0,289119.0,62786.0,3.0,2908346.0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,G,8,20
8,990001,G,2019-05-23 17:26:26,21511,289119,62786,3,2908346,1006.0,290125.0,63792.0,3.0,2907340.0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,H,9,20
9,990001,H,2019-05-23 17:43:12,1006,290125,63792,3,2907340,79892.0,370017.0,57284.0,4.0,2827448.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,J,10,20
10,990001,J,2019-05-24 15:54:44,79892,370017,57284,4,2827448,266408.0,636425.0,64492.0,0.0,2561040.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,E,11,20
11,990001,E,2019-05-27 17:54:52,266408,636425,64492,0,2561040,681961.0,1318386.0,55253.0,1.0,1879079.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,12,20
12,990001,B,2019-06-04 15:20:53,681961,1318386,55253,1,1879079,176350.0,1494736.0,58803.0,3.0,1702729.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,G,13,20
13,990001,G,2019-06-06 16:20:03,176350,1494736,58803,3,1702729,63607.0,1558343.0,36010.0,4.0,1639122.0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,H,14,20
14,990001,H,2019-06-07 10:00:10,63607,1558343,36010,4,1639122,14658.0,1573001.0,50668.0,4.0,1624464.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,J,15,20
15,990001,J,2019-06-07 14:04:28,14658,1573001,50668,4,1624464,1126425.0,2699426.0,53893.0,3.0,498039.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,16,20
16,990001,B,2019-06-20 14:58:13,1126425,2699426,53893,3,498039,419508.0,3118934.0,41401.0,1.0,78531.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,G,17,20
