,Case_ID,Activity,Timestamp,Items,Customers,Packages,In_Package,Amount_Items,Time_Diff,Time_Since_Start,Time_Since_Midnight,Weekday,Remaining_Time,Next_Time_Diff,Next_Time_Since_Start,Next_Time_Since_Midnight,Next_Weekday,Next_Remaining_Time,Act_!,Act_A,Act_B,Act_C,Act_D,Cust_a,Cust_b,Cust_c,Cust_d,Cust_e,Cust_f,Cust_g,Cust_h,Cust_i,Cust_j,Cust_k,Cust_l,Cust_m,Cust_n,Cust_o,Cust_p,Cust_q,Next_Act_!,Next_Act_A,Next_Act_B,Next_Act_C,Next_Act_D,Next_Activity,Position,Trace_Len
0,990001,A,2019-05-20 09:07:47,"['880001', '880004', '880003', '880002']",a,,0,4,0,0,32867,0,267608,7567.0,7567.0,40434.0,0.0,260041.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,3
1,990001,B,2019-05-20 11:13:54,"['880001', '880004', '880003', '880002']",a,,0,4,7567,7567,40434,0,260041,260041.0,267608.0,41275.0,3.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,C,2,3
2,990001,C,2019-05-23 11:27:55,"['880001', '880004', '880003', '880002']",a,,0,4,260041,267608,41275,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,!,3,3
3,990002,A,2019-05-20 10:35:21,"['880008', '880005', '880006', '880007']",b,,0,4,0,0,38121,0,187939,92635.0,92635.0,44356.0,1.0,95304.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,3
4,990002,B,2019-05-21 12:19:16,"['880008', '880005', '880006', '880007']",b,,0,4,92635,92635,44356,1,95304,95304.0,187939.0,53260.0,2.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,C,2,3
5,990002,C,2019-05-22 14:47:40,"['880008', '880005', '880006', '880007']",b,,0,4,95304,187939,53260,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,!,3,3
6,990003,A,2019-05-20 12:30:30,"['880009', '880010', '880011', '880012']",c,,0,4,0,0,45030,0,79837,226.0,226.0,45256.0,0.0,79611.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,3
7,990003,B,2019-05-20 12:34:16,"['880009', '880010', '880011', '880012']",c,,0,4,226,226,45256,0,79611,79611.0,79837.0,38467.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,C,2,3
8,990003,C,2019-05-21 10:41:07,"['880009', '880010', '880011', '880012']",c,,0,4,79611,79837,38467,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,!,3,3
9,990004,A,2019-05-20 14:20:47,"['880014', '880013']",d,,0,2,0,0,51647,0,2061428,15350.0,15350.0,66997.0,0.0,2046078.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,4
10,990004,B,2019-05-20 18:36:37,"['880014', '880013']",d,,0,2,15350,15350,66997,0,2046078,1728000.0,1743350.0,66997.0,6.0,318078.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,D,2,4
11,990004,D,2019-06-09 18:36:37,"['880014', '880013']",d,,0,2,1728000,1743350,66997,6,318078,318078.0,2061428.0,39475.0,3.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,C,3,4
12,990004,C,2019-06-13 10:57:55,"['880014', '880013']",d,,0,2,318078,2061428,39475,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,!,4,4
13,990005,A,2019-05-20 16:01:22,"['880015', '880016']",e,,0,2,0,0,57682,0,3805561,66781.0,66781.0,38063.0,1.0,3738780.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,5
14,990005,B,2019-05-21 10:34:23,"['880015', '880016']",e,,0,2,66781,66781,38063,1,3738780,1728000.0,1794781.0,38063.0,0.0,2010780.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,D,2,5
15,990005,D,2019-06-10 10:34:23,"['880015', '880016']",e,,0,2,1728000,1794781,38063,0,2010780,1728000.0,3522781.0,38063.0,6.0,282780.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,D,3,5
16,990005,D,2019-06-30 10:34:23,"['880015', '880016']",e,,0,2,1728000,3522781,38063,6,282780,282780.0,3805561.0,61643.0,2.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,C,4,5
17,990005,C,2019-07-03 17:07:23,"['880015', '880016']",e,,0,2,282780,3805561,61643,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,!,5,5
18,990006,A,2019-05-20 17:22:31,"['880018', '880019', '880017']",f,,0,3,0,0,62551,0,963801,77554.0,77554.0,53705.0,1.0,886247.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,3
19,990006,B,2019-05-21 14:55:05,"['880018', '880019', '880017']",f,,0,3,77554,77554,53705,1,886247,886247.0,963801.0,75952.0,4.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,C,2,3
20,990006,C,2019-05-31 21:05:52,"['880018', '880019', '880017']",f,,0,3,886247,963801,75952,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,!,3,3
21,990007,A,2019-05-20 19:04:49,"['880021', '880022', '880020']",d,,0,3,0,0,68689,0,2127169,70139.0,70139.0,52428.0,1.0,2057030.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,4
22,990007,B,2019-05-21 14:33:48,"['880021', '880022', '880020']",d,,0,3,70139,70139,52428,1,2057030,1728000.0,1798139.0,52428.0,0.0,329030.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,D,2,4
