,Case_ID,Activity,Timestamp,Time_Diff,Time_Since_Start,Time_Since_Midnight,Weekday,Remaining_Time,Next_Time_Diff,Next_Time_Since_Start,Next_Time_Since_Midnight,Next_Weekday,Next_Remaining_Time,Act_!,Act_A,Act_B,Act_C,Act_D,Next_Act_!,Next_Act_A,Next_Act_B,Next_Act_C,Next_Act_D,Next_Activity,Position,Trace_Len
0,990001,A,2019-05-20 09:07:47,0,0,32867,0,267608,7567.0,7567.0,40434.0,0.0,260041.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,3
1,990001,B,2019-05-20 11:13:54,7567,7567,40434,0,260041,260041.0,267608.0,41275.0,3.0,0.0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,C,2,3
2,990001,C,2019-05-23 11:27:55,260041,267608,41275,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,!,3,3
3,990003,A,2019-05-20 12:30:30,0,0,45030,0,79837,226.0,226.0,45256.0,0.0,79611.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,3
4,990003,B,2019-05-20 12:34:16,226,226,45256,0,79611,79611.0,79837.0,38467.0,1.0,0.0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,C,2,3
5,990003,C,2019-05-21 10:41:07,79611,79837,38467,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,!,3,3
6,990004,A,2019-05-20 14:20:47,0,0,51647,0,2061428,15350.0,15350.0,66997.0,0.0,2046078.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,4
7,990004,B,2019-05-20 18:36:37,15350,15350,66997,0,2046078,1728000.0,1743350.0,66997.0,6.0,318078.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,D,2,4
8,990004,D,2019-06-09 18:36:37,1728000,1743350,66997,6,318078,318078.0,2061428.0,39475.0,3.0,0.0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,C,3,4
9,990004,C,2019-06-13 10:57:55,318078,2061428,39475,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,!,4,4
10,990006,A,2019-05-20 17:22:31,0,0,62551,0,963801,77554.0,77554.0,53705.0,1.0,886247.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,3
11,990006,B,2019-05-21 14:55:05,77554,77554,53705,1,886247,886247.0,963801.0,75952.0,4.0,0.0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,C,2,3
12,990006,C,2019-05-31 21:05:52,886247,963801,75952,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,!,3,3
13,990007,A,2019-05-20 19:04:49,0,0,68689,0,2127169,70139.0,70139.0,52428.0,1.0,2057030.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,B,1,4
14,990007,B,2019-05-21 14:33:48,70139,70139,52428,1,2057030,1728000.0,1798139.0,52428.0,0.0,329030.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,D,2,4
