,Case_ID,Activity,Timestamp,Time_Diff,Time_Since_Start,Time_Since_Midnight,Weekday,Remaining_Time,Next_Time_Diff,Next_Time_Since_Start,Next_Time_Since_Midnight,Next_Weekday,Next_Remaining_Time,Act_!,Act_G,Act_H,Act_I,Act_J,Next_Act_!,Next_Act_G,Next_Act_H,Next_Act_I,Next_Act_J,Next_Activity,Position,Trace_Len
0,660001,G,2019-05-23 11:00:25,0,0,39625,3,29615,12154.0,12154.0,51779.0,3.0,17461.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,4
1,660001,H,2019-05-23 14:22:59,12154,12154,51779,3,17461,1542.0,13696.0,53321.0,3.0,15919.0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,I,2,4
2,660001,I,2019-05-23 14:48:41,1542,13696,53321,3,15919,15919.0,29615.0,69240.0,3.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,J,3,4
3,660001,J,2019-05-23 19:14:00,15919,29615,69240,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,!,4,4
4,660002,G,2019-05-23 17:26:26,0,0,62786,3,80898,1006.0,1006.0,63792.0,3.0,79892.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,3
5,660002,H,2019-05-23 17:43:12,1006,1006,63792,3,79892,79892.0,80898.0,57284.0,4.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,J,2,3
6,660002,J,2019-05-24 15:54:44,79892,80898,57284,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,!,3,3
7,660003,G,2019-05-24 10:49:32,0,0,38972,4,352354,258641.0,258641.0,38413.0,0.0,93713.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,4
8,660003,H,2019-05-27 10:40:13,258641,258641,38413,0,93713,15368.0,274009.0,53781.0,0.0,78345.0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,I,2,4
9,660003,I,2019-05-27 14:56:21,15368,274009,53781,0,78345,78345.0,352354.0,45726.0,1.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,J,3,4
10,660003,J,2019-05-28 12:42:06,78345,352354,45726,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,!,4,4
11,660004,G,2019-05-24 15:49:44,0,0,56984,4,247781,237617.0,237617.0,35401.0,0.0,10164.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,3
12,660004,H,2019-05-27 09:50:01,237617,237617,35401,0,10164,10164.0,247781.0,45565.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,J,2,3
13,660004,J,2019-05-27 12:39:25,10164,247781,45565,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,!,3,3
14,660005,G,2019-05-25 01:00:00,0,0,3600,5,377436,242972.0,242972.0,73772.0,0.0,134464.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,3
15,660005,H,2019-05-27 20:29:32,242972,242972,73772,0,134464,134464.0,377436.0,35436.0,2.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,J,2,3
16,660005,J,2019-05-29 09:50:36,134464,377436,35436,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,!,3,3
