,Case_ID,Activity,Timestamp,Time_Diff,Time_Since_Start,Time_Since_Midnight,Weekday,Remaining_Time,Next_Time_Diff,Next_Time_Since_Start,Next_Time_Since_Midnight,Next_Weekday,Next_Remaining_Time,Act_!,Act_G,Act_H,Act_I,Act_J,Next_Act_!,Next_Act_G,Next_Act_H,Next_Act_I,Next_Act_J,Next_Activity,Position,Trace_Len
0,660001,G,2019-05-23 11:00:25,0,0,39625,3,29615,12154.0,12154.0,51779.0,3.0,17461.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,4
1,660001,H,2019-05-23 14:22:59,12154,12154,51779,3,17461,1542.0,13696.0,53321.0,3.0,15919.0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,I,2,4
2,660001,I,2019-05-23 14:48:41,1542,13696,53321,3,15919,15919.0,29615.0,69240.0,3.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,J,3,4
3,660001,J,2019-05-23 19:14:00,15919,29615,69240,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,!,4,4
4,660003,G,2019-05-24 10:49:32,0,0,38972,4,352354,258641.0,258641.0,38413.0,0.0,93713.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,4
5,660003,H,2019-05-27 10:40:13,258641,258641,38413,0,93713,15368.0,274009.0,53781.0,0.0,78345.0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,I,2,4
6,660003,I,2019-05-27 14:56:21,15368,274009,53781,0,78345,78345.0,352354.0,45726.0,1.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,J,3,4
7,660003,J,2019-05-28 12:42:06,78345,352354,45726,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,!,4,4
8,660004,G,2019-05-24 15:49:44,0,0,56984,4,247781,237617.0,237617.0,35401.0,0.0,10164.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,3
9,660004,H,2019-05-27 09:50:01,237617,237617,35401,0,10164,10164.0,247781.0,45565.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,J,2,3
10,660004,J,2019-05-27 12:39:25,10164,247781,45565,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,!,3,3
11,660006,G,2019-05-27 11:49:13,0,0,42553,0,100881,88840.0,88840.0,44993.0,1.0,12041.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,3
12,660006,H,2019-05-28 12:29:53,88840,88840,44993,1,12041,12041.0,100881.0,57034.0,1.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,J,2,3
13,660006,J,2019-05-28 15:50:34,12041,100881,57034,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,!,3,3
14,660007,G,2019-05-27 15:11:01,0,0,54661,0,104239,71547.0,71547.0,39808.0,1.0,32692.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,3
15,660007,H,2019-05-28 11:03:28,71547,71547,39808,1,32692,32692.0,104239.0,72500.0,1.0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,J,2,3
16,660007,J,2019-05-28 20:08:20,32692,104239,72500,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,!,3,3
