,Case_ID,Activity,Timestamp
0,880001,A,2019-05-20 09:07:47
1,880001,C,2019-05-20 11:13:54
2,880001,D,2019-05-23 10:40:50
3,880001,F,2019-05-23 11:27:55
4,880001,E,2019-05-27 17:54:52
5,880001,B,2019-06-04 15:20:53
6,880001,G,2019-06-06 16:20:03
7,880001,H,2019-06-07 10:00:10
8,880001,J,2019-06-07 14:04:28
9,880002,A,2019-05-20 09:07:47
10,880002,C,2019-05-20 11:13:54
11,880002,B,2019-05-20 11:20:13
12,880002,F,2019-05-23 11:27:55
13,880002,G,2019-05-23 17:26:26
14,880002,H,2019-05-23 17:43:12
15,880002,J,2019-05-24 15:54:44
16,880003,A,2019-05-20 09:07:47
17,880003,C,2019-05-20 11:13:54
18,880003,B,2019-05-23 11:00:25
19,880003,F,2019-05-23 11:27:55
20,880003,G,2019-05-23 17:26:26
21,880003,H,2019-05-23 17:43:12
22,880003,J,2019-05-24 15:54:44
23,880004,A,2019-05-20 09:07:47
24,880004,C,2019-05-20 11:13:54
25,880004,D,2019-05-20 13:54:37
26,880004,E,2019-05-21 10:03:49
27,880004,F,2019-05-23 11:27:55
28,880004,B,2019-06-20 14:58:13
29,880004,G,2019-06-25 11:30:01
30,880004,H,2019-06-25 11:55:45
31,880004,J,2019-06-26 09:18:52
32,880005,A,2019-05-20 10:35:21
33,880005,C,2019-05-21 12:19:16
34,880005,B,2019-05-21 12:35:03
35,880005,F,2019-05-22 14:47:40
36,880005,G,2019-05-23 11:00:25
37,880005,H,2019-05-23 14:22:59
38,880005,I,2019-05-23 14:48:41
39,880005,J,2019-05-23 19:14:00
40,880006,A,2019-05-20 10:35:21
41,880006,B,2019-05-20 10:38:17
42,880006,C,2019-05-21 12:19:16
43,880006,F,2019-05-22 14:47:40
44,880006,G,2019-05-23 11:00:25
45,880006,H,2019-05-23 14:22:59
46,880006,I,2019-05-23 14:48:41
47,880006,J,2019-05-23 19:14:00
48,880007,A,2019-05-20 10:35:21
49,880007,B,2019-05-20 18:15:00
50,880007,C,2019-05-21 12:19:16
51,880007,F,2019-05-22 14:47:40
52,880007,G,2019-05-23 11:00:25
53,880007,H,2019-05-23 14:22:59
54,880007,I,2019-05-23 14:48:41
55,880007,J,2019-05-23 19:14:00
56,880008,A,2019-05-20 10:35:21
57,880008,B,2019-05-20 17:08:25
58,880008,C,2019-05-21 12:19:16
59,880008,F,2019-05-22 14:47:40
60,880008,G,2019-05-23 11:00:25
61,880008,H,2019-05-23 14:22:59
62,880008,I,2019-05-23 14:48:41
63,880008,J,2019-05-23 19:14:00
64,880009,A,2019-05-20 12:30:30
65,880009,C,2019-05-20 12:34:16
66,880009,D,2019-05-20 15:19:49
67,880009,F,2019-05-21 10:41:07
68,880009,E,2019-05-22 16:52:23
69,880009,B,2019-05-24 17:26:40
70,880009,G,2019-05-29 16:14:37
71,880009,H,2019-05-30 10:19:45
72,880009,J,2019-05-31 11:00:07
73,880010,A,2019-05-20 12:30:30
74,880010,C,2019-05-20 12:34:16
75,880010,B,2019-05-21 09:43:01
76,880010,F,2019-05-21 10:41:07
77,880010,G,2019-05-24 15:49:44
78,880010,H,2019-05-27 09:50:01
79,880010,J,2019-05-27 12:39:25
80,880011,A,2019-05-20 12:30:30
81,880011,C,2019-05-20 12:34:16
82,880011,B,2019-05-20 17:51:15
83,880011,F,2019-05-21 10:41:07
84,880011,G,2019-05-24 15:49:44
85,880011,H,2019-05-27 09:50:01
86,880011,J,2019-05-27 12:39:25
87,880012,A,2019-05-20 12:30:30
88,880012,C,2019-05-20 12:34:16
89,880012,F,2019-05-21 10:41:07
90,880012,B,2019-05-21 14:58:29
91,880012,G,2019-05-24 15:49:44
92,880012,H,2019-05-27 09:50:01
93,880012,J,2019-05-27 12:39:25
94,880013,A,2019-05-20 14:20:47
95,880013,C,2019-05-20 18:36:37
96,880013,B,2019-05-21 12:39:01
97,880013,G,2019-05-24 10:49:32
98,880013,H,2019-05-27 10:40:13
99,880013,I,2019-05-27 14:56:21
100,880013,J,2019-05-28 12:42:06
101,880013,K,2019-06-09 18:36:37
102,880013,F,2019-06-13 10:57:55
103,880014,A,2019-05-20 14:20:47
104,880014,B,2019-05-20 16:56:02
105,880014,C,2019-05-20 18:36:37
106,880014,G,2019-05-24 10:49:32
107,880014,H,2019-05-27 10:40:13
108,880014,I,2019-05-27 14:56:21
109,880014,J,2019-05-28 12:42:06
110,880014,K,2019-06-09 18:36:37
111,880014,F,2019-06-13 10:57:55
112,880015,A,2019-05-20 16:01:22
113,880015,C,2019-05-21 10:34:23
114,880015,B,2019-05-22 11:18:26
