,Case_ID,Activity,Timestamp,Customers,Orders,Packages
0,880001,A,2019-05-20 09:07:47,a,['990001'],
1,880001,C,2019-05-20 11:13:54,a,['990001'],
2,880001,D,2019-05-23 10:40:50,a,['990001'],
3,880001,E,2019-05-27 17:54:52,a,['990001'],
4,880001,B,2019-06-04 15:20:53,a,['990001'],
5,880001,F,2019-06-06 16:20:03,a,"['990001', '990095', '990098', '990068', '990075']",660049
6,880001,G,2019-06-07 10:00:10,a,"['990001', '990095', '990098', '990068', '990075']",660049
7,880001,I,2019-06-07 14:04:28,a,"['990001', '990095', '990098', '990068', '990075']",660049
8,880002,A,2019-05-20 09:07:47,a,['990001'],
9,880002,C,2019-05-20 11:13:54,a,['990001'],
10,880002,B,2019-05-20 11:20:13,a,['990001'],
11,880002,F,2019-05-23 17:26:26,a,"['990025', '990001']",660002
12,880002,G,2019-05-23 17:43:12,a,"['990025', '990001']",660002
13,880002,I,2019-05-24 15:54:44,a,"['990025', '990001']",660002
14,880003,A,2019-05-20 09:07:47,a,['990001'],
15,880003,C,2019-05-20 11:13:54,a,['990001'],
16,880003,B,2019-05-23 11:00:25,a,['990001'],
17,880003,F,2019-05-23 17:26:26,a,"['990025', '990001']",660002
18,880003,G,2019-05-23 17:43:12,a,"['990025', '990001']",660002
19,880003,I,2019-05-24 15:54:44,a,"['990025', '990001']",660002
20,880004,A,2019-05-20 09:07:47,a,['990001'],
21,880004,C,2019-05-20 11:13:54,a,['990001'],
22,880004,D,2019-05-20 13:54:37,a,['990001'],
23,880004,E,2019-05-21 10:03:49,a,['990001'],
24,880004,B,2019-06-20 14:58:13,a,['990001'],
25,880004,F,2019-06-25 11:30:01,a,"['990001', '990098']",660109
26,880004,G,2019-06-25 11:55:45,a,"['990001', '990098']",660109
27,880004,I,2019-06-26 09:18:52,a,"['990001', '990098']",660109
28,880005,A,2019-05-20 10:35:21,b,['990002'],
29,880005,C,2019-05-21 12:19:16,b,['990002'],
30,880005,B,2019-05-21 12:35:03,b,['990002'],
31,880005,F,2019-05-23 11:00:25,b,"['990011', '990002', '990013', '990012', '990009']",660001
32,880005,G,2019-05-23 14:22:59,b,"['990011', '990002', '990013', '990012', '990009']",660001
33,880005,H,2019-05-23 14:48:41,b,"['990011', '990002', '990013', '990012', '990009']",660001
34,880005,I,2019-05-23 19:14:00,b,"['990011', '990002', '990013', '990012', '990009']",660001
35,880006,A,2019-05-20 10:35:21,b,['990002'],
36,880006,B,2019-05-20 10:38:17,b,['990002'],
37,880006,C,2019-05-21 12:19:16,b,['990002'],
38,880006,F,2019-05-23 11:00:25,b,"['990011', '990002', '990013', '990012', '990009']",660001
39,880006,G,2019-05-23 14:22:59,b,"['990011', '990002', '990013', '990012', '990009']",660001
40,880006,H,2019-05-23 14:48:41,b,"['990011', '990002', '990013', '990012', '990009']",660001
41,880006,I,2019-05-23 19:14:00,b,"['990011', '990002', '990013', '990012', '990009']",660001
42,880007,A,2019-05-20 10:35:21,b,['990002'],
43,880007,B,2019-05-20 18:15:00,b,['990002'],
44,880007,C,2019-05-21 12:19:16,b,['990002'],
45,880007,F,2019-05-23 11:00:25,b,"['990011', '990002', '990013', '990012', '990009']",660001
46,880007,G,2019-05-23 14:22:59,b,"['990011', '990002', '990013', '990012', '990009']",660001
47,880007,H,2019-05-23 14:48:41,b,"['990011', '990002', '990013', '990012', '990009']",660001
48,880007,I,2019-05-23 19:14:00,b,"['990011', '990002', '990013', '990012', '990009']",660001
49,880008,A,2019-05-20 10:35:21,b,['990002'],
50,880008,B,2019-05-20 17:08:25,b,['990002'],
51,880008,C,2019-05-21 12:19:16,b,['990002'],
52,880008,F,2019-05-23 11:00:25,b,"['990011', '990002', '990013', '990012', '990009']",660001
53,880008,G,2019-05-23 14:22:59,b,"['990011', '990002', '990013', '990012', '990009']",660001
54,880008,H,2019-05-23 14:48:41,b,"['990011', '990002', '990013', '990012', '990009']",660001
55,880008,I,2019-05-23 19:14:00,b,"['990011', '990002', '990013', '990012', '990009']",660001
56,880009,A,2019-05-20 12:30:30,c,['990003'],
57,880009,C,2019-05-20 12:34:16,c,['990003'],
58,880009,D,2019-05-20 15:19:49,c,['990003'],
59,880009,E,2019-05-22 16:52:23,c,['990003'],
60,880009,B,2019-05-24 17:26:40,c,['990003'],
61,880009,F,2019-05-29 16:14:37,c,"['990003', '990028', '990008']",660017
62,880009,G,2019-05-30 10:19:45,c,"['990003', '990028', '990008']",660017
63,880009,I,2019-05-31 11:00:07,c,"['990003', '990028', '990008']",660017
64,880010,A,2019-05-20 12:30:30,c,['990003'],
65,880010,C,2019-05-20 12:34:16,c,['990003'],
66,880010,B,2019-05-21 09:43:01,c,['990003'],
67,880010,F,2019-05-24 15:49:44,c,"['990028', '990019', '990003', '990008']",660004
68,880010,G,2019-05-27 09:50:01,c,"['990028', '990019', '990003', '990008']",660004
69,880010,I,2019-05-27 12:39:25,c,"['990028', '990019', '990003', '990008']",660004
70,880011,A,2019-05-20 12:30:30,c,['990003'],
