,Case_ID,Activity,Timestamp
0,880001,A,2019-05-20 09:07:47
1,880001,C,2019-05-20 11:13:54
2,880001,D,2019-05-23 10:40:50
3,880001,E,2019-05-27 17:54:52
4,880001,B,2019-06-04 15:20:53
5,880001,F,2019-06-06 16:20:03
6,880001,G,2019-06-07 10:00:10
7,880001,I,2019-06-07 14:04:28
8,880002,A,2019-05-20 09:07:47
9,880002,C,2019-05-20 11:13:54
10,880002,B,2019-05-20 11:20:13
11,880002,F,2019-05-23 17:26:26
12,880002,G,2019-05-23 17:43:12
13,880002,I,2019-05-24 15:54:44
14,880003,A,2019-05-20 09:07:47
15,880003,C,2019-05-20 11:13:54
16,880003,B,2019-05-23 11:00:25
17,880003,F,2019-05-23 17:26:26
18,880003,G,2019-05-23 17:43:12
19,880003,I,2019-05-24 15:54:44
20,880004,A,2019-05-20 09:07:47
21,880004,C,2019-05-20 11:13:54
22,880004,D,2019-05-20 13:54:37
23,880004,E,2019-05-21 10:03:49
24,880004,B,2019-06-20 14:58:13
25,880004,F,2019-06-25 11:30:01
26,880004,G,2019-06-25 11:55:45
27,880004,I,2019-06-26 09:18:52
28,880005,A,2019-05-20 10:35:21
29,880005,C,2019-05-21 12:19:16
30,880005,B,2019-05-21 12:35:03
31,880005,F,2019-05-23 11:00:25
32,880005,G,2019-05-23 14:22:59
33,880005,H,2019-05-23 14:48:41
34,880005,I,2019-05-23 19:14:00
35,880006,A,2019-05-20 10:35:21
36,880006,B,2019-05-20 10:38:17
37,880006,C,2019-05-21 12:19:16
38,880006,F,2019-05-23 11:00:25
39,880006,G,2019-05-23 14:22:59
40,880006,H,2019-05-23 14:48:41
41,880006,I,2019-05-23 19:14:00
42,880007,A,2019-05-20 10:35:21
43,880007,B,2019-05-20 18:15:00
44,880007,C,2019-05-21 12:19:16
45,880007,F,2019-05-23 11:00:25
46,880007,G,2019-05-23 14:22:59
47,880007,H,2019-05-23 14:48:41
48,880007,I,2019-05-23 19:14:00
49,880008,A,2019-05-20 10:35:21
50,880008,B,2019-05-20 17:08:25
51,880008,C,2019-05-21 12:19:16
52,880008,F,2019-05-23 11:00:25
53,880008,G,2019-05-23 14:22:59
54,880008,H,2019-05-23 14:48:41
55,880008,I,2019-05-23 19:14:00
56,880009,A,2019-05-20 12:30:30
57,880009,C,2019-05-20 12:34:16
58,880009,D,2019-05-20 15:19:49
59,880009,E,2019-05-22 16:52:23
60,880009,B,2019-05-24 17:26:40
61,880009,F,2019-05-29 16:14:37
62,880009,G,2019-05-30 10:19:45
63,880009,I,2019-05-31 11:00:07
64,880010,A,2019-05-20 12:30:30
65,880010,C,2019-05-20 12:34:16
66,880010,B,2019-05-21 09:43:01
67,880010,F,2019-05-24 15:49:44
68,880010,G,2019-05-27 09:50:01
69,880010,I,2019-05-27 12:39:25
70,880011,A,2019-05-20 12:30:30
71,880011,C,2019-05-20 12:34:16
72,880011,B,2019-05-20 17:51:15
73,880011,F,2019-05-24 15:49:44
74,880011,G,2019-05-27 09:50:01
75,880011,I,2019-05-27 12:39:25
76,880012,A,2019-05-20 12:30:30
77,880012,C,2019-05-20 12:34:16
78,880012,B,2019-05-21 14:58:29
79,880012,F,2019-05-24 15:49:44
80,880012,G,2019-05-27 09:50:01
81,880012,I,2019-05-27 12:39:25
82,880013,A,2019-05-20 14:20:47
83,880013,C,2019-05-20 18:36:37
84,880013,B,2019-05-21 12:39:01
85,880013,F,2019-05-24 10:49:32
86,880013,G,2019-05-27 10:40:13
87,880013,H,2019-05-27 14:56:21
88,880013,I,2019-05-28 12:42:06
89,880014,A,2019-05-20 14:20:47
90,880014,B,2019-05-20 16:56:02
91,880014,C,2019-05-20 18:36:37
92,880014,F,2019-05-24 10:49:32
93,880014,G,2019-05-27 10:40:13
94,880014,H,2019-05-27 14:56:21
95,880014,I,2019-05-28 12:42:06
96,880015,A,2019-05-20 16:01:22
97,880015,C,2019-05-21 10:34:23
98,880015,B,2019-05-22 11:18:26
99,880015,F,2019-05-28 09:49:33
100,880015,G,2019-05-28 16:20:29
101,880015,I,2019-05-29 12:01:39
102,880016,A,2019-05-20 16:01:22
103,880016,C,2019-05-21 10:34:23
104,880016,B,2019-05-22 15:24:59
105,880016,F,2019-05-28 09:49:33
106,880016,G,2019-05-28 16:20:29
107,880016,I,2019-05-29 12:01:39
108,880017,A,2019-05-20 17:22:31
109,880017,B,2019-05-21 12:15:15
110,880017,C,2019-05-21 14:55:05
111,880017,F,2019-05-25 01:00:00
112,880017,G,2019-05-27 20:29:32
113,880017,I,2019-05-29 09:50:36
114,880018,A,2019-05-20 17:22:31
