,Case_ID,Activity,Timestamp,Items,Customers,Orders
0,660001,G,2019-05-23 11:00:25,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,"['990011', '990002', '990013', '990012', '990009']"
1,660001,H,2019-05-23 14:22:59,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,"['990011', '990002', '990013', '990012', '990009']"
2,660001,I,2019-05-23 14:48:41,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,"['990011', '990002', '990013', '990012', '990009']"
3,660001,J,2019-05-23 19:14:00,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,"['990011', '990002', '990013', '990012', '990009']"
4,660002,G,2019-05-23 17:26:26,"['880101', '880098', '880003', '880002', '880099']",a,"['990025', '990001']"
5,660002,H,2019-05-23 17:43:12,"['880101', '880098', '880003', '880002', '880099']",a,"['990025', '990001']"
6,660002,J,2019-05-24 15:54:44,"['880101', '880098', '880003', '880002', '880099']",a,"['990025', '990001']"
7,660003,G,2019-05-24 10:49:32,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,"['990007', '990026', '990004', '990017']"
8,660003,H,2019-05-27 10:40:13,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,"['990007', '990026', '990004', '990017']"
9,660003,I,2019-05-27 14:56:21,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,"['990007', '990026', '990004', '990017']"
10,660003,J,2019-05-28 12:42:06,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,"['990007', '990026', '990004', '990017']"
11,660004,G,2019-05-24 15:49:44,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",c,"['990028', '990019', '990003', '990008']"
12,660004,H,2019-05-27 09:50:01,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",c,"['990028', '990019', '990003', '990008']"
13,660004,J,2019-05-27 12:39:25,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",c,"['990028', '990019', '990003', '990008']"
14,660005,G,2019-05-25 01:00:00,"['880065', '880018', '880068', '880067', '880019', '880017']",f,"['990016', '990006']"
15,660005,H,2019-05-27 20:29:32,"['880065', '880018', '880068', '880067', '880019', '880017']",f,"['990016', '990006']"
16,660005,J,2019-05-29 09:50:36,"['880065', '880018', '880068', '880067', '880019', '880017']",f,"['990016', '990006']"
17,660006,G,2019-05-27 11:49:13,"['880118', '880121', '880129', '880036', '880120', '880122', '880128']",g,"['990033', '990010', '990030']"
18,660006,H,2019-05-28 12:29:53,"['880118', '880121', '880129', '880036', '880120', '880122', '880128']",g,"['990033', '990010', '990030']"
19,660006,J,2019-05-28 15:50:34,"['880118', '880121', '880129', '880036', '880120', '880122', '880128']",g,"['990033', '990010', '990030']"
20,660007,G,2019-05-27 15:11:01,"['880062', '880064', '880059', '880063']",i,['990015']
21,660007,H,2019-05-28 11:03:28,"['880062', '880064', '880059', '880063']",i,['990015']
22,660007,J,2019-05-28 20:08:20,"['880062', '880064', '880059', '880063']",i,['990015']
23,660008,G,2019-05-27 16:26:44,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",h,"['990018', '990038', '990014', '990027']"
24,660008,H,2019-05-27 18:57:39,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",h,"['990018', '990038', '990014', '990027']"
25,660008,J,2019-05-28 17:52:39,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",h,"['990018', '990038', '990014', '990027']"
26,660009,G,2019-05-28 09:49:33,"['880015', '880158', '880161', '880162', '880016']",e,"['990005', '990042']"
27,660009,H,2019-05-28 16:20:29,"['880015', '880158', '880161', '880162', '880016']",e,"['990005', '990042']"
28,660009,J,2019-05-29 12:01:39,"['880015', '880158', '880161', '880162', '880016']",e,"['990005', '990042']"
29,660010,G,2019-05-28 11:12:33,"['880090', '880091', '880148', '880123', '880092', '880089', '880088']",l,"['990031', '990040', '990023', '990022']"
30,660010,H,2019-05-28 15:57:57,"['880090', '880091', '880148', '880123', '880092', '880089', '880088']",l,"['990031', '990040', '990023', '990022']"
31,660010,J,2019-05-29 09:08:16,"['880090', '880091', '880148', '880123', '880092', '880089', '880088']",l,"['990031', '990040', '990023', '990022']"
32,660011,G,2019-05-28 14:22:11,"['880096', '880154', '880094', '880156', '880095', '880150']",m,"['990041', '990024']"
33,660011,H,2019-05-28 16:01:33,"['880096', '880154', '880094', '880156', '880095', '880150']",m,"['990041', '990024']"
34,660011,J,2019-05-29 09:58:19,"['880096', '880154', '880094', '880156', '880095', '880150']",m,"['990041', '990024']"
35,660012,G,2019-05-28 16:07:01,"['880081', '880202', '880125', '880080', '880079']",j,"['990052', '990032', '990020']"
36,660012,H,2019-05-29 16:16:17,"['880081', '880202', '880125', '880080', '880079']",j,"['990052', '990032', '990020']"
37,660012,J,2019-05-29 20:01:33,"['880081', '880202', '880125', '880080', '880079']",j,"['990052', '990032', '990020']"
38,660013,G,2019-05-28 17:21:54,"['880180', '880044', '880042', '880139', '880143', '880039', '880034', '880052', '880179', '880140', '880037', '880046']",b,"['990046', '990011', '990013', '990012', '990036', '990009']"
