,Case_ID,Activity,Timestamp
0,660001,G,2019-05-23 11:00:25
1,660001,H,2019-05-23 14:22:59
2,660001,I,2019-05-23 14:48:41
3,660001,J,2019-05-23 19:14:00
4,660002,G,2019-05-23 17:26:26
5,660002,H,2019-05-23 17:43:12
6,660002,J,2019-05-24 15:54:44
7,660003,G,2019-05-24 10:49:32
8,660003,H,2019-05-27 10:40:13
9,660003,I,2019-05-27 14:56:21
10,660003,J,2019-05-28 12:42:06
11,660004,G,2019-05-24 15:49:44
12,660004,H,2019-05-27 09:50:01
13,660004,J,2019-05-27 12:39:25
14,660005,G,2019-05-25 01:00:00
15,660005,H,2019-05-27 20:29:32
16,660005,J,2019-05-29 09:50:36
17,660006,G,2019-05-27 11:49:13
18,660006,H,2019-05-28 12:29:53
19,660006,J,2019-05-28 15:50:34
20,660007,G,2019-05-27 15:11:01
21,660007,H,2019-05-28 11:03:28
22,660007,J,2019-05-28 20:08:20
23,660008,G,2019-05-27 16:26:44
24,660008,H,2019-05-27 18:57:39
25,660008,J,2019-05-28 17:52:39
26,660009,G,2019-05-28 09:49:33
27,660009,H,2019-05-28 16:20:29
28,660009,J,2019-05-29 12:01:39
29,660010,G,2019-05-28 11:12:33
30,660010,H,2019-05-28 15:57:57
31,660010,J,2019-05-29 09:08:16
32,660011,G,2019-05-28 14:22:11
33,660011,H,2019-05-28 16:01:33
34,660011,J,2019-05-29 09:58:19
35,660012,G,2019-05-28 16:07:01
36,660012,H,2019-05-29 16:16:17
37,660012,J,2019-05-29 20:01:33
38,660013,G,2019-05-28 17:21:54
39,660013,H,2019-05-29 14:30:00
40,660013,J,2019-05-29 16:14:22
41,660014,G,2019-05-29 11:18:17
42,660014,H,2019-05-29 19:29:05
43,660014,J,2019-05-30 10:34:44
44,660015,G,2019-05-29 13:59:21
45,660015,H,2019-05-29 19:08:32
46,660015,J,2019-05-30 14:50:42
47,660016,G,2019-05-29 15:38:06
48,660016,H,2019-05-30 10:10:22
49,660016,J,2019-05-30 12:02:46
50,660017,G,2019-05-29 16:14:37
51,660017,H,2019-05-30 10:19:45
52,660017,J,2019-05-31 11:00:07
53,660018,G,2019-05-29 17:38:50
54,660018,H,2019-05-30 13:17:32
55,660018,J,2019-05-30 15:42:57
56,660019,G,2019-05-29 18:01:12
57,660019,H,2019-05-29 19:32:41
58,660019,I,2019-05-30 13:16:22
59,660019,J,2019-05-30 16:23:46
60,660020,G,2019-05-30 01:00:00
61,660020,H,2019-05-30 14:38:24
62,660020,I,2019-05-30 16:34:12
63,660020,I,2019-05-31 10:30:10
64,660020,I,2019-05-31 14:58:13
65,660020,J,2019-05-31 16:18:19
66,660021,G,2019-05-30 15:56:05
67,660021,H,2019-05-31 12:07:26
68,660021,J,2019-05-31 12:59:10
69,660022,G,2019-05-30 17:36:37
70,660022,H,2019-06-03 11:23:31
71,660022,J,2019-06-03 16:37:21
72,660023,G,2019-05-30 20:10:16
73,660023,H,2019-05-31 12:37:28
74,660023,J,2019-06-03 09:14:37
75,660024,G,2019-05-31 09:59:47
76,660024,H,2019-05-31 13:02:49
77,660024,J,2019-05-31 20:47:49
78,660025,G,2019-05-31 11:02:37
79,660025,H,2019-05-31 13:32:02
80,660025,J,2019-05-31 15:13:21
81,660026,G,2019-05-31 12:36:18
82,660026,H,2019-06-03 14:44:40
83,660026,J,2019-06-04 12:49:08
84,660027,G,2019-05-31 19:05:24
85,660027,H,2019-06-03 14:07:59
86,660027,J,2019-06-04 10:32:16
87,660028,G,2019-06-03 10:42:52
88,660028,H,2019-06-03 21:34:51
89,660028,J,2019-06-05 09:57:32
90,660029,G,2019-06-03 13:21:46
91,660029,H,2019-06-03 15:15:53
92,660029,J,2019-06-04 09:55:18
93,660030,G,2019-06-03 16:22:21
94,660030,H,2019-06-04 11:28:14
95,660030,J,2019-06-05 14:32:48
96,660031,G,2019-06-03 18:10:26
97,660031,H,2019-06-05 09:11:11
98,660031,I,2019-06-05 13:53:34
99,660031,J,2019-06-05 15:58:13
100,660032,G,2019-06-03 19:30:05
101,660032,H,2019-06-04 11:31:54
102,660032,J,2019-06-04 15:39:23
103,660033,G,2019-06-04 01:00:00
104,660033,H,2019-06-04 11:15:46
105,660033,J,2019-06-05 09:41:01
106,660034,G,2019-06-04 10:21:54
107,660034,H,2019-06-04 11:24:58
108,660034,J,2019-06-04 15:56:37
109,660035,G,2019-06-04 12:25:02
110,660035,H,2019-06-04 15:18:56
111,660035,J,2019-06-05 12:18:00
112,660036,G,2019-06-04 15:15:34
113,660036,H,2019-06-04 18:00:57
114,660036,J,2019-06-05 15:51:44
115,660037,G,2019-06-04 16:01:06
116,660037,H,2019-06-04 16:54:41
117,660037,J,2019-06-05 18:15:29
118,660038,G,2019-06-04 19:51:21
119,660038,H,2019-06-05 11:11:34
120,660038,J,2019-06-05 13:23:11
121,660039,G,2019-06-05 09:43:33
122,660039,H,2019-06-05 15:08:57
123,660039,I,2019-06-05 16:25:21
124,660039,J,2019-06-05 21:36:36
125,660040,G,2019-06-05 10:43:20
126,660040,H,2019-06-05 16:40:17
127,660040,J,2019-06-06 17:28:01
128,660041,G,2019-06-05 11:11:42
129,660041,H,2019-06-05 19:31:37
130,660041,J,2019-06-06 20:46:27
131,660042,G,2019-06-05 13:57:20
132,660042,H,2019-06-05 16:32:10
133,660042,J,2019-06-05 16:43:25
134,660043,G,2019-06-05 15:22:57
135,660043,H,2019-06-05 19:41:18
136,660043,J,2019-06-06 10:51:45
137,660044,G,2019-06-05 16:31:53
138,660044,H,2019-06-06 12:40:22
139,660044,J,2019-06-07 10:46:15
140,660045,G,2019-06-06 08:37:01
141,660045,H,2019-06-06 10:19:20
142,660045,I,2019-06-06 14:24:19
143,660045,J,2019-06-07 16:10:36
144,660046,G,2019-06-06 10:21:38
145,660046,H,2019-06-06 10:56:40
146,660046,J,2019-06-06 15:45:51
147,660047,G,2019-06-06 14:08:08
148,660047,H,2019-06-06 14:51:30
149,660047,J,2019-06-06 16:31:50
150,660048,G,2019-06-06 14:37:28
151,660048,H,2019-06-07 09:23:31
152,660048,I,2019-06-07 12:36:38
153,660048,J,2019-06-10 09:47:58
154,660049,G,2019-06-06 16:20:03
155,660049,H,2019-06-07 10:00:10
156,660049,J,2019-06-07 14:04:28
157,660050,G,2019-06-07 10:54:38
158,660050,H,2019-06-07 16:59:06
159,660050,J,2019-06-11 11:37:05
160,660051,G,2019-06-07 11:36:06
161,660051,H,2019-06-10 10:12:01
162,660051,J,2019-06-10 10:36:42
163,660052,G,2019-06-07 13:43:45
164,660052,H,2019-06-10 16:57:21
165,660052,J,2019-06-11 10:57:37
166,660053,G,2019-06-07 16:35:21
167,660053,H,2019-06-10 10:48:29
168,660053,J,2019-06-11 11:11:03
169,660054,G,2019-06-07 16:49:07
170,660054,H,2019-06-07 19:16:45
171,660054,J,2019-06-11 09:48:47
172,660055,G,2019-06-07 21:54:37
173,660055,H,2019-06-10 12:23:57
174,660055,J,2019-06-11 10:59:30
175,660056,G,2019-06-09 01:00:00
176,660056,H,2019-06-10 09:52:30
177,660056,J,2019-06-10 18:45:14
178,660057,G,2019-06-10 10:26:27
179,660057,H,2019-06-10 17:11:29
180,660057,J,2019-06-11 14:08:47
181,660058,G,2019-06-10 13:38:05
182,660058,H,2019-06-10 15:45:52
183,660058,J,2019-06-10 18:23:07
184,660059,G,2019-06-10 15:31:20
185,660059,H,2019-06-11 19:30:29
186,660059,J,2019-06-12 08:32:06
187,660060,G,2019-06-10 16:01:39
188,660060,H,2019-06-11 20:06:02
189,660060,J,2019-06-12 09:24:21
190,660061,G,2019-06-11 11:14:02
191,660061,H,2019-06-12 10:08:01
192,660061,J,2019-06-12 13:17:51
193,660062,G,2019-06-11 11:57:25
194,660062,H,2019-06-11 16:47:06
195,660062,J,2019-06-12 16:19:07
196,660063,G,2019-06-11 15:49:49
197,660063,H,2019-06-12 10:54:41
198,660063,J,2019-06-13 10:39:25
199,660064,G,2019-06-11 16:17:39
200,660064,H,2019-06-12 09:32:06
201,660064,J,2019-06-12 11:50:09
