,Case_ID,Activity,Timestamp,Items,Customers,Packages
0,990001,A,2019-05-20 09:07:47,"['880001', '880004', '880003', '880002']",a,
1,990001,C,2019-05-20 11:13:54,"['880001', '880004', '880003', '880002']",a,
2,990001,B,2019-05-20 11:20:13,['880002'],a,
3,990001,D,2019-05-20 13:54:37,['880004'],a,
4,990001,E,2019-05-21 10:03:49,['880004'],a,
5,990001,D,2019-05-23 10:40:50,['880001'],a,
6,990001,B,2019-05-23 11:00:25,['880003'],a,
7,990001,F,2019-05-23 11:27:55,"['880001', '880004', '880003', '880002']",a,
8,990001,G,2019-05-23 17:26:26,"['880101', '880098', '880003', '880002', '880099']",a,660002
9,990001,H,2019-05-23 17:43:12,"['880101', '880098', '880003', '880002', '880099']",a,660002
10,990001,J,2019-05-24 15:54:44,"['880101', '880098', '880003', '880002', '880099']",a,660002
11,990001,E,2019-05-27 17:54:52,['880001'],a,
12,990001,B,2019-06-04 15:20:53,['880001'],a,
13,990001,G,2019-06-06 16:20:03,"['880286', '880394', '880263', '880392', '880379', '880378', '880393', '880376', '880377', '880396', '880001', '880390', '880262', '880391', '880264']",a,660049
14,990001,H,2019-06-07 10:00:10,"['880286', '880394', '880263', '880392', '880379', '880378', '880393', '880376', '880377', '880396', '880001', '880390', '880262', '880391', '880264']",a,660049
15,990001,J,2019-06-07 14:04:28,"['880286', '880394', '880263', '880392', '880379', '880378', '880393', '880376', '880377', '880396', '880001', '880390', '880262', '880391', '880264']",a,660049
16,990001,B,2019-06-20 14:58:13,['880004'],a,
17,990001,G,2019-06-25 11:30:01,"['880004', '880395']",a,660109
18,990001,H,2019-06-25 11:55:45,"['880004', '880395']",a,660109
19,990001,J,2019-06-26 09:18:52,"['880004', '880395']",a,660109
20,990002,A,2019-05-20 10:35:21,"['880008', '880005', '880006', '880007']",b,
21,990002,B,2019-05-20 10:38:17,['880006'],b,
22,990002,B,2019-05-20 17:08:25,['880008'],b,
23,990002,B,2019-05-20 18:15:00,['880007'],b,
24,990002,C,2019-05-21 12:19:16,"['880008', '880005', '880006', '880007']",b,
25,990002,B,2019-05-21 12:35:03,['880005'],b,
26,990002,F,2019-05-22 14:47:40,"['880008', '880005', '880006', '880007']",b,
27,990002,G,2019-05-23 11:00:25,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,660001
28,990002,H,2019-05-23 14:22:59,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,660001
29,990002,I,2019-05-23 14:48:41,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,660001
30,990002,J,2019-05-23 19:14:00,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,660001
31,990003,A,2019-05-20 12:30:30,"['880009', '880010', '880011', '880012']",c,
32,990003,C,2019-05-20 12:34:16,"['880009', '880010', '880011', '880012']",c,
33,990003,D,2019-05-20 15:19:49,['880009'],c,
34,990003,B,2019-05-20 17:51:15,['880011'],c,
35,990003,B,2019-05-21 09:43:01,['880010'],c,
36,990003,F,2019-05-21 10:41:07,"['880009', '880010', '880011', '880012']",c,
37,990003,B,2019-05-21 14:58:29,['880012'],c,
38,990003,E,2019-05-22 16:52:23,['880009'],c,
39,990003,G,2019-05-24 15:49:44,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",c,660004
40,990003,B,2019-05-24 17:26:40,['880009'],c,
41,990003,H,2019-05-27 09:50:01,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",c,660004
42,990003,J,2019-05-27 12:39:25,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",c,660004
43,990003,G,2019-05-29 16:14:37,"['880027', '880114', '880009', '880112']",c,660017
44,990003,H,2019-05-30 10:19:45,"['880027', '880114', '880009', '880112']",c,660017
45,990003,J,2019-05-31 11:00:07,"['880027', '880114', '880009', '880112']",c,660017
46,990004,A,2019-05-20 14:20:47,"['880014', '880013']",d,
47,990004,B,2019-05-20 16:56:02,['880014'],d,
48,990004,C,2019-05-20 18:36:37,"['880014', '880013']",d,
49,990004,B,2019-05-21 12:39:01,['880013'],d,
50,990004,G,2019-05-24 10:49:32,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,660003
51,990004,H,2019-05-27 10:40:13,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,660003
52,990004,I,2019-05-27 14:56:21,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,660003
53,990004,J,2019-05-28 12:42:06,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,660003
54,990004,K,2019-06-09 18:36:37,"['880014', '880013']",d,
55,990004,F,2019-06-13 10:57:55,"['880014', '880013']",d,
56,990005,A,2019-05-20 16:01:22,"['880015', '880016']",e,
57,990005,C,2019-05-21 10:34:23,"['880015', '880016']",e,
58,990005,B,2019-05-22 11:18:26,['880015'],e,
59,990005,B,2019-05-22 15:24:59,['880016'],e,
60,990005,G,2019-05-28 09:49:33,"['880015', '880158', '880161', '880162', '880016']",e,660009
61,990005,H,2019-05-28 16:20:29,"['880015', '880158', '880161', '880162', '880016']",e,660009
62,990005,J,2019-05-29 12:01:39,"['880015', '880158', '880161', '880162', '880016']",e,660009
63,990005,K,2019-06-10 10:34:23,"['880015', '880016']",e,
64,990005,K,2019-06-30 10:34:23,"['880015', '880016']",e,
65,990005,F,2019-07-03 17:07:23,"['880015', '880016']",e,
66,990006,A,2019-05-20 17:22:31,"['880018', '880019', '880017']",f,
67,990006,B,2019-05-21 08:55:41,['880019'],f,
68,990006,B,2019-05-21 12:15:15,['880017'],f,
