,Case_ID,Activity,Timestamp
0,990001,A,2019-05-20 09:07:47
1,990001,B,2019-05-20 11:13:54
2,990001,C,2019-05-23 11:27:55
3,990002,A,2019-05-20 10:35:21
4,990002,B,2019-05-21 12:19:16
5,990002,C,2019-05-22 14:47:40
6,990003,A,2019-05-20 12:30:30
7,990003,B,2019-05-20 12:34:16
8,990003,C,2019-05-21 10:41:07
9,990004,A,2019-05-20 14:20:47
10,990004,B,2019-05-20 18:36:37
11,990004,D,2019-06-09 18:36:37
12,990004,C,2019-06-13 10:57:55
13,990005,A,2019-05-20 16:01:22
14,990005,B,2019-05-21 10:34:23
15,990005,D,2019-06-10 10:34:23
16,990005,D,2019-06-30 10:34:23
17,990005,C,2019-07-03 17:07:23
18,990006,A,2019-05-20 17:22:31
19,990006,B,2019-05-21 14:55:05
20,990006,C,2019-05-31 21:05:52
21,990007,A,2019-05-20 19:04:49
22,990007,B,2019-05-21 14:33:48
23,990007,D,2019-06-10 14:33:48
24,990007,C,2019-06-14 09:57:38
25,990008,A,2019-05-20 21:49:13
26,990008,B,2019-05-22 10:34:00
27,990008,C,2019-05-22 13:31:24
28,990009,A,2019-05-21 07:13:12
29,990009,B,2019-05-21 13:40:12
30,990009,C,2019-06-05 12:51:54
31,990010,A,2019-05-21 09:58:19
32,990010,B,2019-05-21 21:10:10
33,990010,D,2019-06-10 21:10:10
34,990010,C,2019-06-14 08:33:46
35,990011,A,2019-05-21 12:16:25
36,990011,B,2019-05-21 12:55:17
37,990011,C,2019-05-23 14:24:31
38,990012,A,2019-05-21 13:52:38
39,990012,B,2019-05-21 16:44:36
40,990012,C,2019-06-06 17:01:11
41,990013,A,2019-05-21 16:05:03
42,990013,B,2019-05-21 21:40:22
43,990013,C,2019-05-29 11:06:49
44,990014,A,2019-05-21 17:29:53
45,990014,B,2019-05-23 09:09:23
46,990014,C,2019-05-24 09:37:42
47,990015,A,2019-05-21 19:19:34
48,990015,B,2019-05-22 12:40:14
49,990015,C,2019-05-30 09:05:10
50,990016,A,2019-05-21 22:18:43
51,990016,B,2019-05-23 11:58:56
52,990016,C,2019-05-28 09:13:13
53,990017,A,2019-05-22 08:29:00
54,990017,B,2019-05-22 10:21:25
55,990017,C,2019-05-29 10:35:55
56,990018,A,2019-05-22 10:33:18
57,990018,B,2019-05-22 14:44:07
58,990018,C,2019-05-23 15:19:51
59,990019,A,2019-05-22 12:26:23
60,990019,B,2019-05-22 15:42:38
61,990019,D,2019-06-11 15:42:38
62,990019,C,2019-06-13 10:15:04
63,990020,A,2019-05-22 14:12:34
64,990020,B,2019-05-23 13:04:43
65,990020,C,2019-05-31 14:55:51
66,990021,A,2019-05-22 15:44:55
67,990021,B,2019-05-23 22:00:00
68,990021,C,2019-05-27 12:19:36
69,990022,A,2019-05-22 17:49:37
70,990022,B,2019-05-23 11:23:05
71,990022,C,2019-06-03 11:04:21
72,990023,A,2019-05-22 20:08:26
73,990023,B,2019-05-24 14:55:25
74,990023,C,2019-05-27 09:22:27
75,990024,A,2019-05-22 22:56:27
76,990024,B,2019-05-23 12:55:00
77,990024,C,2019-05-29 19:51:41
78,990025,A,2019-05-23 09:44:29
79,990025,B,2019-05-24 17:01:23
80,990025,C,2019-05-31 15:35:49
81,990026,A,2019-05-23 11:48:45
82,990026,B,2019-05-24 16:32:09
83,990026,D,2019-06-13 16:32:09
84,990026,C,2019-06-19 10:00:32
85,990027,A,2019-05-23 13:57:18
86,990027,B,2019-05-23 16:27:55
87,990027,D,2019-06-12 16:27:55
88,990027,C,2019-06-28 09:34:47
89,990028,A,2019-05-23 16:14:23
90,990028,B,2019-05-24 08:27:33
91,990028,C,2019-06-05 09:31:56
92,990029,A,2019-05-23 17:48:34
93,990029,B,2019-05-30 14:31:12
94,990029,C,2019-05-30 20:54:23
95,990030,A,2019-05-23 20:05:16
96,990030,B,2019-05-24 09:35:41
97,990030,D,2019-06-13 09:35:41
98,990030,C,2019-06-14 18:59:46
99,990031,A,2019-05-23 22:50:07
100,990031,B,2019-05-24 12:33:34
101,990031,C,2019-05-28 15:42:42
102,990032,A,2019-05-24 09:31:49
103,990032,B,2019-05-24 13:40:11
104,990032,D,2019-06-13 13:40:11
105,990032,C,2019-06-25 10:19:21
106,990033,A,2019-05-24 11:23:25
107,990033,B,2019-05-24 11:59:26
108,990033,C,2019-05-24 17:07:14
109,990034,A,2019-05-24 13:06:38
110,990034,B,2019-05-24 17:21:57
111,990034,D,2019-06-13 17:21:57
