Orders,Activity,Timestamp
990001,8,2019-05-20 09:07:47
990002,8,2019-05-20 10:35:21
990002,7,2019-05-20 10:38:17
990001,0,2019-05-20 11:13:54
990001,7,2019-05-20 11:20:13
990003,8,2019-05-20 12:30:30
990003,0,2019-05-20 12:34:16
990001,3,2019-05-20 13:54:37
990004,8,2019-05-20 14:20:47
990003,3,2019-05-20 15:19:49
990005,8,2019-05-20 16:01:22
990004,7,2019-05-20 16:56:02
990002,7,2019-05-20 17:08:25
990006,8,2019-05-20 17:22:31
990003,7,2019-05-20 17:51:15
990002,7,2019-05-20 18:15:00
990004,0,2019-05-20 18:36:37
990007,8,2019-05-20 19:04:49
990008,8,2019-05-20 21:49:13
990009,8,2019-05-21 07:13:12
990009,7,2019-05-21 08:23:42
990006,7,2019-05-21 08:55:41
990009,3,2019-05-21 09:14:32
990003,7,2019-05-21 09:43:01
990010,8,2019-05-21 09:58:19
990001,9,2019-05-21 10:03:49
990005,0,2019-05-21 10:34:23
990003,5,2019-05-21 10:41:07
990007,7,2019-05-21 10:49:44
990006,7,2019-05-21 12:15:15
990011,8,2019-05-21 12:16:25
990002,0,2019-05-21 12:19:16
990002,7,2019-05-21 12:35:03
990004,7,2019-05-21 12:39:01
990010,7,2019-05-21 12:47:10
990011,0,2019-05-21 12:55:17
990010,3,2019-05-21 12:57:36
990009,0,2019-05-21 13:40:12
990008,7,2019-05-21 13:42:40
990012,8,2019-05-21 13:52:38
990009,7,2019-05-21 14:14:14
990007,0,2019-05-21 14:33:48
990006,0,2019-05-21 14:55:05
990008,7,2019-05-21 14:56:24
990003,7,2019-05-21 14:58:29
990008,7,2019-05-21 15:02:54
990008,7,2019-05-21 15:26:17
990009,7,2019-05-21 15:32:29
990008,3,2019-05-21 15:51:03
990013,8,2019-05-21 16:05:03
990012,0,2019-05-21 16:44:36
990008,9,2019-05-21 16:51:49
990007,7,2019-05-21 17:02:33
990013,7,2019-05-21 17:15:32
990014,8,2019-05-21 17:29:53
990012,3,2019-05-21 19:19:13
990015,8,2019-05-21 19:19:34
990015,7,2019-05-21 20:34:29
990010,0,2019-05-21 21:10:10
990013,0,2019-05-21 21:40:22
990016,8,2019-05-21 22:18:43
990017,8,2019-05-22 08:29:00
990013,3,2019-05-22 09:29:44
990013,3,2019-05-22 09:31:49
990013,7,2019-05-22 09:37:12
990009,7,2019-05-22 09:49:11
990006,7,2019-05-22 10:17:48
990017,0,2019-05-22 10:21:25
990014,3,2019-05-22 10:22:31
990018,8,2019-05-22 10:33:18
990008,0,2019-05-22 10:34:00
990014,7,2019-05-22 10:52:34
990012,7,2019-05-22 11:00:23
990017,7,2019-05-22 11:06:36
990014,7,2019-05-22 11:13:31
990016,3,2019-05-22 11:14:47
990005,7,2019-05-22 11:18:26
990017,7,2019-05-22 11:34:42
990012,7,2019-05-22 11:36:46
990018,3,2019-05-22 11:39:24
990016,7,2019-05-22 11:45:06
990012,7,2019-05-22 11:47:12
990019,8,2019-05-22 12:26:23
990015,0,2019-05-22 12:40:14
990008,5,2019-05-22 13:31:24
990018,7,2019-05-22 13:53:26
990020,8,2019-05-22 14:12:34
990011,7,2019-05-22 14:18:39
990014,9,2019-05-22 14:29:53
990018,0,2019-05-22 14:44:07
990002,5,2019-05-22 14:47:40
990005,7,2019-05-22 15:24:59
990019,0,2019-05-22 15:42:38
990016,9,2019-05-22 15:44:52
990021,8,2019-05-22 15:44:55
990013,7,2019-05-22 16:07:56
990017,7,2019-05-22 16:14:21
990003,9,2019-05-22 16:52:23
990015,7,2019-05-22 16:54:39
990008,7,2019-05-22 17:13:56
990016,7,2019-05-22 17:19:25
990010,9,2019-05-22 17:33:36
990014,7,2019-05-22 17:38:56
990022,8,2019-05-22 17:49:37
990023,8,2019-05-22 20:08:26
990024,8,2019-05-22 22:56:27
990019,7,2019-05-23 08:42:25
990017,7,2019-05-23 08:44:21
990014,0,2019-05-23 09:09:23
990016,3,2019-05-23 09:26:37
990025,8,2019-05-23 09:44:29
990022,7,2019-05-23 10:03:08
990012,3,2019-05-23 10:19:26
990012,9,2019-05-23 10:27:00
990023,3,2019-05-23 10:29:24
990001,3,2019-05-23 10:40:50
990011,7,2019-05-23 10:45:43
990025,7,2019-05-23 10:52:26
990015,7,2019-05-23 10:53:08
990001,7,2019-05-23 11:00:25
990011,1,2019-05-23 11:00:25
990002,1,2019-05-23 11:00:25
990013,1,2019-05-23 11:00:25
990012,1,2019-05-23 11:00:25
990009,1,2019-05-23 11:00:25
990022,3,2019-05-23 11:07:19
