Orders,Activity,Timestamp,Items,Customers,Packages,amount_of_items
990001,8,2019-05-20 09:07:47,"['880001', '880004', '880003', '880002']",12,,4
990002,8,2019-05-20 10:35:21,"['880008', '880005', '880006', '880007']",4,,4
990002,7,2019-05-20 10:38:17,['880006'],4,,1
990001,0,2019-05-20 11:13:54,"['880001', '880004', '880003', '880002']",12,,4
990001,7,2019-05-20 11:20:13,['880002'],12,,1
990003,8,2019-05-20 12:30:30,"['880009', '880010', '880011', '880012']",11,,4
990003,0,2019-05-20 12:34:16,"['880009', '880010', '880011', '880012']",11,,4
990001,3,2019-05-20 13:54:37,['880004'],12,,1
990004,8,2019-05-20 14:20:47,"['880014', '880013']",5,,2
990003,3,2019-05-20 15:19:49,['880009'],11,,1
990005,8,2019-05-20 16:01:22,"['880015', '880016']",14,,2
990004,7,2019-05-20 16:56:02,['880014'],5,,1
990002,7,2019-05-20 17:08:25,['880008'],4,,1
990006,8,2019-05-20 17:22:31,"['880018', '880019', '880017']",1,,3
990003,7,2019-05-20 17:51:15,['880011'],11,,1
990002,7,2019-05-20 18:15:00,['880007'],4,,1
990004,0,2019-05-20 18:36:37,"['880014', '880013']",5,,2
990007,8,2019-05-20 19:04:49,"['880021', '880022', '880020']",5,,3
990008,8,2019-05-20 21:49:13,"['880026', '880027', '880024', '880023', '880028', '880025']",11,,6
990009,8,2019-05-21 07:13:12,"['880032', '880033', '880031', '880034', '880030', '880029']",4,,6
990009,7,2019-05-21 08:23:42,['880030'],4,,1
990006,7,2019-05-21 08:55:41,['880019'],1,,1
990009,3,2019-05-21 09:14:32,['880029'],4,,1
990003,7,2019-05-21 09:43:01,['880010'],11,,1
990010,8,2019-05-21 09:58:19,"['880035', '880036']",16,,2
990001,9,2019-05-21 10:03:49,['880004'],12,,1
990005,0,2019-05-21 10:34:23,"['880015', '880016']",14,,2
990003,5,2019-05-21 10:41:07,"['880009', '880010', '880011', '880012']",11,,4
990007,7,2019-05-21 10:49:44,['880022'],5,,1
990006,7,2019-05-21 12:15:15,['880017'],1,,1
990011,8,2019-05-21 12:16:25,"['880038', '880039', '880037', '880040']",4,,4
990002,0,2019-05-21 12:19:16,"['880008', '880005', '880006', '880007']",4,,4
990002,7,2019-05-21 12:35:03,['880005'],4,,1
990004,7,2019-05-21 12:39:01,['880013'],5,,1
990010,7,2019-05-21 12:47:10,['880036'],16,,1
990011,0,2019-05-21 12:55:17,"['880038', '880039', '880037', '880040']",4,,4
990010,3,2019-05-21 12:57:36,['880035'],16,,1
990009,0,2019-05-21 13:40:12,"['880032', '880033', '880031', '880034', '880030', '880029']",4,,6
990008,7,2019-05-21 13:42:40,['880024'],11,,1
990012,8,2019-05-21 13:52:38,"['880046', '880047', '880045', '880044', '880043', '880042', '880041']",4,,7
990009,7,2019-05-21 14:14:14,['880031'],4,,1
990007,0,2019-05-21 14:33:48,"['880021', '880022', '880020']",5,,3
990006,0,2019-05-21 14:55:05,"['880018', '880019', '880017']",1,,3
990008,7,2019-05-21 14:56:24,['880025'],11,,1
990003,7,2019-05-21 14:58:29,['880012'],11,,1
990008,7,2019-05-21 15:02:54,['880026'],11,,1
990008,7,2019-05-21 15:26:17,['880028'],11,,1
990009,7,2019-05-21 15:32:29,['880032'],4,,1
990008,3,2019-05-21 15:51:03,['880027'],11,,1
990013,8,2019-05-21 16:05:03,"['880049', '880053', '880048', '880050', '880051', '880052']",4,,6
990012,0,2019-05-21 16:44:36,"['880046', '880047', '880045', '880044', '880043', '880042', '880041']",4,,7
990008,9,2019-05-21 16:51:49,['880027'],11,,1
990007,7,2019-05-21 17:02:33,['880020'],5,,1
990013,7,2019-05-21 17:15:32,['880049'],4,,1
990014,8,2019-05-21 17:29:53,"['880055', '880056', '880057', '880058', '880054']",2,,5
990012,3,2019-05-21 19:19:13,['880046'],4,,1
990015,8,2019-05-21 19:19:34,"['880062', '880060', '880064', '880061', '880059', '880063']",8,,6
990015,7,2019-05-21 20:34:29,['880059'],8,,1
990010,0,2019-05-21 21:10:10,"['880035', '880036']",16,,2
990013,0,2019-05-21 21:40:22,"['880049', '880053', '880048', '880050', '880051', '880052']",4,,6
990016,8,2019-05-21 22:18:43,"['880065', '880066', '880068', '880067']",1,,4
990017,8,2019-05-22 08:29:00,"['880072', '880070', '880069', '880073', '880071']",5,,5
990013,3,2019-05-22 09:29:44,['880050'],4,,1
990013,3,2019-05-22 09:31:49,['880053'],4,,1
990013,7,2019-05-22 09:37:12,['880048'],4,,1
990009,7,2019-05-22 09:49:11,['880033'],4,,1
990006,7,2019-05-22 10:17:48,['880018'],1,,1
990017,0,2019-05-22 10:21:25,"['880072', '880070', '880069', '880073', '880071']",5,,5
990014,3,2019-05-22 10:22:31,['880055'],2,,1
990018,8,2019-05-22 10:33:18,"['880074', '880076', '880075']",2,,3
990008,0,2019-05-22 10:34:00,"['880026', '880027', '880024', '880023', '880028', '880025']",11,,6
990014,7,2019-05-22 10:52:34,['880058'],2,,1
990012,7,2019-05-22 11:00:23,['880043'],4,,1
990017,7,2019-05-22 11:06:36,['880070'],5,,1
990014,7,2019-05-22 11:13:31,['880054'],2,,1
990016,3,2019-05-22 11:14:47,['880065'],1,,1
990005,7,2019-05-22 11:18:26,['880015'],14,,1
990017,7,2019-05-22 11:34:42,['880069'],5,,1
990012,7,2019-05-22 11:36:46,['880047'],4,,1
990018,3,2019-05-22 11:39:24,['880074'],2,,1
990016,7,2019-05-22 11:45:06,['880068'],1,,1
990012,7,2019-05-22 11:47:12,['880041'],4,,1
990019,8,2019-05-22 12:26:23,"['880078', '880077']",11,,2
990015,0,2019-05-22 12:40:14,"['880062', '880060', '880064', '880061', '880059', '880063']",8,,6
990008,5,2019-05-22 13:31:24,"['880026', '880027', '880024', '880023', '880028', '880025']",11,,6
990018,7,2019-05-22 13:53:26,['880076'],2,,1
990020,8,2019-05-22 14:12:34,"['880081', '880080', '880079']",6,,3
990011,7,2019-05-22 14:18:39,['880038'],4,,1
990014,9,2019-05-22 14:29:53,['880055'],2,,1
990018,0,2019-05-22 14:44:07,"['880074', '880076', '880075']",2,,3
990002,5,2019-05-22 14:47:40,"['880008', '880005', '880006', '880007']",4,,4
990005,7,2019-05-22 15:24:59,['880016'],14,,1
990019,0,2019-05-22 15:42:38,"['880078', '880077']",11,,2
990016,9,2019-05-22 15:44:52,['880065'],1,,1
990021,8,2019-05-22 15:44:55,"['880082', '880087', '880086', '880084', '880085', '880083']",13,,6
990013,7,2019-05-22 16:07:56,['880051'],4,,1
990017,7,2019-05-22 16:14:21,['880071'],5,,1
990003,9,2019-05-22 16:52:23,['880009'],11,,1
990015,7,2019-05-22 16:54:39,['880064'],8,,1
990008,7,2019-05-22 17:13:56,['880023'],11,,1
990016,7,2019-05-22 17:19:25,['880067'],1,,1
990010,9,2019-05-22 17:33:36,['880035'],16,,1
990014,7,2019-05-22 17:38:56,['880057'],2,,1
990022,8,2019-05-22 17:49:37,"['880090', '880089', '880091', '880088']",15,,4
